ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
百済王遠宝	Kudara no Konikishi Enpō	135.524919	34.652028	135.524919	34.652028	1971981	1973806
百済王遠宝	Kudara no Konikishi Enpō	135.524919	34.652028	135.807222	34.501944	1973806	1973808
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1973808	1977431
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	140.273744	36.196053	1977431	1977443
百済王遠宝	Kudara no Konikishi Enpō	140.273744	36.196053	140.273744	36.196053	1977443	1980146
百済王遠宝	Kudara no Konikishi Enpō	140.273744	36.196053	135.807222	34.501944	1980146	1980158
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1980158	1982004
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1982004	1982005
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1982005	1989652
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1989652	1989653
百済王遠宝	Kudara no Konikishi Enpō	135.807222	34.501944	135.807222	34.501944	1989653	1989683
