start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
44.579167	33.093611	44.579167	33.093611	1929613	1933265
44.579167	33.093611	44.579167	33.093611	1933265	1933266
44.579167	33.093611	44.579167	33.093611	1933266	1936917
44.579167	33.093611	44.579167	33.093611	1936917	1936918
44.579167	33.093611	44.579167	33.093611	1936918	1937130
44.579167	33.093611	44.579167	33.093611	1937130	1937131
44.579167	33.093611	44.579167	33.093611	1937131	1937282
44.579167	33.093611	44.579167	33.093611	1937282	1937283
44.579167	33.093611	44.579167	33.093611	1937283	1941300
44.579167	33.093611	44.579167	33.093611	1941300	1941301
44.579167	33.093611	44.579167	33.093611	1941301	1942017
44.579167	33.093611	40.9483	37.1777	1942017	1942031
40.9483	37.1777	40.9483	37.1777	1942031	1942147
40.9483	37.1777	38.781432	37.162558	1942147	1942153
38.781432	37.162558	38.781432	37.162558	1942153	1942242
38.781432	37.162558	37.956528	36.526326	1942242	1942245
37.956528	36.526326	37.956528	36.526326	1942245	1942333
37.956528	36.526326	37.156825	36.199335	1942333	1942336
37.156825	36.199335	37.156825	36.199335	1942336	1943849
37.156825	36.199335	40.2306	37.91	1943849	1943858
40.2306	37.91	40.2306	37.91	1943858	1944222
40.2306	37.91	40.2306	37.91	1944222	1944223
40.2306	37.91	40.2306	37.91	1944223	1944435
40.2306	37.91	40.2306	37.91	1944435	1944436
40.2306	37.91	40.2306	37.91	1944436	1945308
40.2306	37.91	36.181667	36.204722	1945308	1945319
36.181667	36.204722	36.181667	36.204722	1945319	1945525
36.181667	36.204722	36.309444	33.513056	1945525	1945532
36.309444	33.513056	36.309444	33.513056	1945532	1945861
36.309444	33.513056	35.1751	31.7963	1945861	1945867
35.1751	31.7963	35.1751	31.7963	1945867	1946401
35.1751	31.7963	29.8925	31.1975	1946401	1946414
29.8925	31.1975	29.8925	31.1975	1946414	1946756
29.8925	31.1975	29.027222	40.984444	1946756	1946780
29.027222	40.984444	29.027222	40.984444	1946780	1947144
29.027222	40.984444	29.027222	40.984444	1947144	1947145
29.027222	40.984444	29.027222	40.984444	1947145	1948596
29.027222	40.984444	32.860538	39.943198	1948596	1948606
32.860538	39.943198	32.860538	39.943198	1948606	1948804
32.860538	39.943198	27.92	36.17	1948804	1948819
27.92	36.17	27.92	36.17	1948819	1950054
27.92	36.17	28.98	41.0125	1950054	1950067
28.98	41.0125	28.98	41.0125	1950067	1950761
28.98	41.0125	43.152778	36.359444	1950761	1950797
43.152778	36.359444	43.152778	36.359444	1950797	1950544
43.152778	36.359444	46.02	39.22	1950544	1950554
46.02	39.22	46.02	39.22	1950554	1950867
46.02	39.22	44.579167	33.093611	1950867	1950883
44.579167	33.093611	44.579167	33.093611	1950883	1950885
44.579167	33.093611	44.579167	33.093611	1950885	1950886
44.579167	33.093611	44.579167	33.093611	1950886	1950916
